parameter1,parameter2,parameter3,parameter4,output
537,801,833,665,2836
830,133,691,568,2222
117,752,401,389,1659
11,744,585,185,1525
534,428,89,526,1577
340,234,583,208,1365
385,734,933,211,2263
805,435,140,1,1381
657,270,560,806,2293
8,777,740,334,1859
373,761,181,289,1604
648,846,559,170,2223
719,243,284,781,2027
884,26,23,148,1081
68,478,292,963,1801
660,778,574,239,2251
787,163,12,871,1833
942,755,558,523,2778
386,654,807,402,2249
840,299,110,505,1754
149,233,568,880,1830
600,715,33,712,2060
964,354,786,87,2191
146,228,945,763,2082
503,956,384,199,2042
456,447,158,832,1893
32,844,808,213,1897
951,441,880,161,2433
99,961,306,749,2115
347,662,907,516,2432
977,85,226,368,1656
262,72,792,18,1144
555,877,124,536,2092
788,329,8,537,1662
537,648,626,353,2164
420,492,810,771,2493
723,359,237,822,2141
542,35,54,132,763
721,535,666,787,2709
344,257,16,408,1025
30,788,621,347,1786
854,773,919,890,3436
281,495,78,594,1448
706,166,738,408,2018
621,815,174,906,2516
932,153,903,181,2169
797,919,72,351,2139
401,185,558,471,1615
380,496,663,280,1819
725,141,492,252,1610
218,760,626,531,2135
461,259,644,771,2135
391,671,545,581,2188
431,517,142,360,1450
99,435,79,588,1201
346,72,783,668,1869
991,307,165,818,2281
779,836,11,664,2290
548,479,496,161,1684
812,992,826,613,3243
137,715,548,787,2187
784,227,450,68,1529
126,265,573,878,1842
689,355,441,352,1837
848,219,756,996,2819
271,654,310,590,1825
224,647,609,160,1640
514,367,564,522,1967
190,43,278,875,1386
421,9,355,21,806
151,307,341,781,1580
140,396,431,61,1028
140,791,607,662,2200
185,537,580,921,2223
298,277,892,240,1707
236,824,477,124,1661
89,675,316,230,1310
41,696,309,582,1628
1000,697,303,189,2189
56,39,707,199,1001
288,603,818,375,2084
66,643,795,96,1600
593,631,305,870,2399
55,581,960,807,2403
479,784,527,354,2144
353,438,728,940,2459
85,97,663,1000,1845
907,241,385,704,2237
942,873,465,159,2439
174,7,309,181,671
612,763,874,895,3144
439,145,503,701,1788
391,318,825,108,1642
67,114,209,34,424
70,335,824,828,2057
760,425,857,678,2720
705,230,378,465,1778
321,378,180,693,1572
672,604,825,313,2414
333,574,808,238,1953
114,370,413,891,1788
828,97,136,792,1853
33,667,703,751,2154
414,870,446,746,2476
345,275,118,194,932
294,61,660,756,1771
331,379,989,982,2681
985,731,925,337,2978
147,589,345,642,1723
691,310,409,212,1622
358,590,540,471,1959
466,743,794,838,2841
608,453,730,419,2210
186,991,829,388,2394
619,132,996,515,2262
815,821,99,16,1751
817,787,594,341,2539
937,929,349,95,2310
515,921,28,805,2269
610,999,239,916,2764
310,467,755,867,2399
18,199,662,831,1710
483,896,151,926,2456
856,32,19,617,1524
590,470,531,141,1732
370,573,260,227,1430
81,59,503,597,1240
423,965,605,604,2597
584,309,673,860,2426
277,952,490,140,1859
938,402,235,204,1779
680,449,13,966,2108
315,400,874,949,2538
967,878,366,857,3068
198,153,346,18,715
777,831,737,934,3279
439,548,802,670,2459
791,95,531,816,2233
301,459,446,825,2031
254,951,819,851,2875
193,398,881,667,2139
811,758,754,181,2504
881,706,780,147,2514
405,984,474,129,1992
932,433,448,526,2339
881,295,119,135,1430
21,824,810,697,2352
442,811,672,746,2671
432,371,914,781,2498
989,195,485,103,1772
185,990,358,350,1883
258,925,359,88,1630
613,422,566,945,2546
195,188,138,967,1488
241,678,671,47,1637
931,342,78,512,1863
501,868,510,965,2844
621,979,706,371,2677
112,642,893,615,2262
199,658,328,166,1351
531,494,58,18,1101
695,259,810,685,2449
796,203,243,551,1793
583,694,469,21,1767
280,460,793,300,1833
743,4,585,429,1761
417,459,107,621,1604
751,164,416,809,2140
143,641,638,197,1619
30,777,755,804,2366
333,115,166,956,1570
915,168,308,817,2208
688,872,554,664,2778
225,830,605,62,1722
987,485,736,871,3079
799,75,191,507,1572
341,342,431,651,1765
838,305,120,13,1276
518,893,279,82,1772
135,95,988,674,1892
257,411,304,432,1404
873,440,821,453,2587
424,215,351,655,1645
202,520,15,779,1516
988,609,218,182,1997
30,839,1,82,952
466,984,606,554,2610
553,777,746,941,3017
23,409,514,534,1480
214,95,388,114,811
127,263,733,584,1707
525,349,987,424,2285
196,368,897,744,2205
701,912,639,950,3202
737,32,951,768,2488
884,583,459,35,1961
286,89,582,999,1956
36,929,549,276,1790
108,569,392,90,1159
287,329,367,785,1768
915,493,46,8,1462
122,629,834,93,1678
925,519,473,679,2596
134,682,43,936,1795
875,292,648,240,2055
92,239,53,573,957
723,667,709,250,2349
688,934,719,745,3086
77,304,375,309,1065
678,13,786,393,1870
521,427,349,786,2083
314,417,166,106,1003
680,394,552,82,1708
964,502,216,539,2221
643,682,270,278,1873
364,173,827,838,2202
576,245,469,835,2125
491,887,430,115,1923
157,425,230,213,1025
586,537,607,567,2297
344,582,421,810,2157
474,992,105,81,1652
219,766,250,732,1967
368,561,958,982,2869
632,372,441,972,2417
280,1,656,104,1041
897,761,213,380,2251
142,86,885,491,1604
926,304,198,600,2028
367,179,248,550,1344
916,263,574,88,1841
193,790,689,346,2018
163,969,419,402,1953
314,854,788,934,2890
280,411,238,607,1536
764,602,798,728,2892
962,139,896,124,2121
437,116,949,185,1687
917,990,223,707,2837
508,812,736,967,3023
518,168,786,292,1764
822,988,814,849,3473
675,387,955,220,2237
769,634,729,291,2423
813,994,465,605,2877
412,174,237,604,1427
256,738,87,196,1277
85,707,216,702,1710
549,654,527,403,2133
229,319,607,32,1187
63,122,404,171,760
966,572,564,783,2885
331,877,63,626,1897
480,913,612,149,2154
485,824,908,136,2353
261,882,422,338,1903
147,384,511,785,1827
529,277,555,805,2166
166,363,140,964,1633
239,124,282,141,786
35,619,975,420,2049
780,847,215,27,1869
224,638,865,710,2437
656,30,398,582,1666
393,112,467,976,1948
260,45,525,35,865
137,254,595,326,1312
266,198,836,830,2130
557,829,751,58,2195
651,815,362,480,2308
905,562,589,294,2350
248,586,355,967,2156
35,858,128,873,1894
672,46,885,824,2427
793,799,827,859,3278
783,51,769,802,2405
379,236,291,491,1397
442,722,298,503,1965
727,403,671,668,2469
501,337,854,960,2652
554,357,727,218,1856
420,116,45,185,766
546,529,63,917,2055
259,745,659,986,2649
486,166,682,554,1888
244,73,794,964,2075
407,296,92,252,1047
36,252,710,426,1424
275,776,83,1,1135
771,55,419,50,1295
327,865,49,585,1826
10,972,781,554,2317
887,355,880,430,2552
651,70,905,867,2493
75,516,606,810,2007
670,367,918,395,2350
748,872,555,243,2418
273,448,241,194,1156
74,282,931,866,2153
595,992,784,660,3031
643,741,951,642,2977
776,283,686,82,1827
374,707,722,6,1809
159,170,174,193,696
802,124,850,125,1901
687,503,823,812,2825
550,499,892,872,2813
916,517,988,140,2561
409,248,230,38,925
154,347,338,505,1344
366,369,231,572,1538
438,777,752,905,2872
926,627,93,667,2313
844,566,20,980,2410
897,624,790,909,3220
425,357,47,258,1087
599,630,440,184,1853
486,893,908,860,3147
852,988,740,954,3534
967,917,502,838,3224
790,642,407,965,2804
524,967,387,232,2110
311,562,200,254,1327
356,735,338,964,2393
73,302,778,751,1904
782,254,656,467,2159
470,347,628,781,2226
125,267,767,382,1541
4,197,235,682,1118
180,210,275,588,1253
343,282,700,282,1607
953,308,164,612,2037
614,300,55,267,1236
622,48,914,701,2285
215,399,47,931,1592
797,868,773,49,2487
194,541,120,868,1723
679,554,909,805,2947
755,435,99,64,1353
434,792,23,22,1271
197,441,971,726,2335
467,907,609,616,2599
655,531,148,108,1442
85,983,579,438,2085
800,8,638,285,1731
643,788,599,910,2940
699,308,96,686,1789
790,762,164,457,2173
312,560,337,117,1326
808,36,73,168,1085
197,996,676,89,1958
953,628,910,970,3461
866,372,809,89,2136
899,567,145,759,2370
521,4,992,895,2412
839,790,667,580,2876
351,872,353,677,2253
635,427,254,480,1796
345,920,612,967,2844
791,319,608,950,2668
145,772,109,461,1487
98,60,763,534,1455
95,68,953,756,1872
635,149,84,785,1653
242,49,419,377,1087
931,206,114,182,1433
850,655,935,64,2504
133,206,301,98,738
547,821,420,959,2747
436,829,298,453,2016
410,561,997,222,2190
183,796,772,563,2314
724,4,699,56,1483
804,502,326,224,1856
764,726,390,980,2860
606,249,491,50,1396
599,977,203,819,2598
686,280,273,194,1433
728,712,563,672,2675
210,597,569,583,1959
321,896,936,618,2771
285,602,691,959,2537
337,124,569,390,1420
624,592,902,342,2460
867,855,923,53,2698
192,32,354,862,1440
720,338,346,151,1555
722,169,125,834,1850
568,993,0,718,2279
978,888,512,596,2974
873,133,122,625,1753
347,415,118,709,1589
407,942,728,28,2105
852,452,214,97,1615
955,267,722,539,2483
104,701,48,642,1495
473,177,551,898,2099
946,993,88,245,2272
320,551,483,500,1854
762,523,979,258,2522
429,213,644,455,1741
59,213,373,246,891
960,624,467,490,2541
162,529,932,940,2563
898,96,760,806,2560
842,291,458,55,1646
461,197,572,257,1487
498,749,318,502,2067
403,663,952,197,2215
643,356,866,614,2479
697,8,478,120,1303
343,403,271,719,1736
256,97,278,188,819
937,156,700,84,1877
398,719,837,509,2463
932,621,459,963,2975
661,865,378,469,2373
629,125,59,592,1405
126,645,199,461,1431
201,468,955,117,1741
274,744,485,765,2268
980,739,994,62,2775
293,903,925,832,2953
592,279,676,768,2315
420,406,941,255,2022
609,73,482,477,1641
457,360,159,254,1230
893,111,263,106,1373
502,184,889,96,1671
157,479,461,842,1939
674,907,189,225,1995
452,916,808,936,3112
673,862,555,284,2374
69,881,779,972,2701
0,662,643,36,1341
841,389,443,660,2333
60,158,81,996,1295
355,987,124,113,1579
297,491,540,98,1426
95,43,265,964,1367
28,618,782,105,1533
636,523,609,357,2125
418,139,138,503,1198
155,630,555,833,2173
28,893,264,47,1232
90,392,704,104,1290
161,274,874,445,1754
960,546,544,945,2995
827,887,448,227,2389
519,980,349,273,2121
156,68,986,477,1687
202,379,583,294,1458
155,254,403,280,1092
138,231,528,915,1812
766,835,674,401,2676
318,80,750,348,1496
662,266,497,39,1464
101,922,869,157,2049
831,474,598,814,2717
751,936,106,977,2770
243,775,805,849,2672
9,460,231,803,1503
157,819,430,142,1548
911,844,792,887,3434
484,851,618,751,2704
857,397,628,272,2154
79,496,227,810,1612
197,61,311,768,1337
827,548,412,142,1929
733,17,343,438,1531
394,519,847,850,2610
872,744,11,503,2130
70,482,826,76,1454
645,286,371,996,2298
642,956,728,434,2760
420,206,229,741,1596
628,790,129,674,2221
317,913,647,430,2307
179,226,611,752,1768
18,264,793,26,1101
722,501,968,654,2845
171,809,994,476,2450
43,613,580,522,1758
790,136,280,901,2107
219,167,969,927,2282
401,805,274,427,1907
436,505,877,701,2519
649,906,489,569,2613
319,794,583,111,1807
169,333,640,510,1652
660,909,681,754,3004
261,138,18,335,752
188,236,435,931,1790
695,499,709,677,2580
706,486,333,800,2325
261,64,264,368,957
770,687,52,434,1943
516,672,724,419,2331
278,937,10,839,2064
485,942,582,19,2028
364,813,355,296,1828
254,787,367,310,1718
166,271,386,539,1362
960,609,565,503,2637
167,612,850,692,2321
755,997,902,446,3100
681,407,11,165,1264
700,562,862,732,2856
654,351,9,505,1519
276,760,767,734,2537
162,220,480,889,1751
891,314,275,469,1949
211,3,80,274,568
424,243,364,733,1764
792,819,319,1000,2930
407,728,433,590,2158
753,697,750,295,2495
886,957,59,18,1920
530,293,483,912,2218
799,245,586,880,2510
961,542,137,610,2250
413,459,221,91,1184
883,342,35,725,1985
517,813,85,726,2141
457,140,734,848,2179
27,711,221,883,1842
746,262,62,285,1355
828,973,13,354,2168
335,476,598,71,1480
27,209,52,463,751
674,32,909,722,2337
38,397,789,287,1511
992,540,334,992,2858
552,191,267,983,1993
45,211,377,419,1052
484,589,764,170,2007
539,832,170,935,2476
196,843,369,427,1835
481,765,191,644,2081
896,180,48,228,1352
505,395,248,320,1468
500,708,96,292,1596
211,303,605,359,1478
486,998,94,761,2339
460,351,156,189,1156
224,655,392,905,2176
183,249,740,80,1252
767,776,860,673,3076
208,197,98,484,987
148,55,581,116,900
511,666,886,107,2170
170,599,33,785,1587
498,535,255,510,1798
289,519,567,899,2274
191,755,240,897,2083
708,36,127,916,1787
515,968,555,627,2665
970,175,975,475,2595
133,911,731,861,2636
276,470,779,751,2276
122,288,848,38,1296
788,379,601,645,2413
776,346,641,577,2340
502,761,716,726,2705
507,373,729,953,2562
249,912,622,0,1783
153,382,948,105,1588
856,599,169,964,2588
910,1000,61,523,2494
821,924,110,748,2603
526,523,202,96,1347
601,121,828,764,2314
111,260,608,457,1436
107,266,748,751,1872
346,290,500,374,1510
295,189,117,949,1550
506,756,579,947,2788
996,545,326,517,2384
198,405,196,730,1529
255,292,225,260,1032
783,22,294,648,1747
459,595,940,541,2535
734,369,137,510,1750
203,405,625,772,2005
421,929,178,341,1869
118,42,911,19,1090
436,38,367,723,1564
588,412,533,777,2310
180,655,339,813,1987
983,679,705,165,2532
779,660,559,27,2025
476,848,614,104,2042
974,841,729,569,3113
103,935,200,514,1752
247,169,956,450,1822
870,334,709,512,2425
776,948,97,584,2405
900,658,157,313,2028
161,866,106,726,1859
755,96,139,214,1204
970,997,242,216,2425
667,645,350,311,1973
464,265,618,825,2172
742,137,961,716,2556
787,18,23,746,1574
334,326,333,146,1139
528,457,953,162,2100
144,420,131,512,1207
300,152,9,889,1350
999,552,271,282,2104
549,595,804,615,2563
578,775,608,653,2614
66,974,778,853,2671
667,205,459,505,1836
785,293,218,269,1565
963,424,85,245,1717
350,873,652,423,2298
141,191,790,144,1266
466,452,400,564,1882
59,199,28,829,1115
569,239,157,156,1121
97,775,21,976,1869
63,546,625,369,1603
809,881,918,266,2874
382,155,552,212,1301
88,419,92,339,938
711,186,81,374,1352
488,854,555,820,2717
613,998,499,552,2662
334,375,391,613,1713
625,472,432,683,2212
600,377,543,398,1918
146,387,318,634,1485
904,393,151,489,1937
463,126,498,810,1897
890,883,998,186,2957
189,999,591,732,2511
839,525,554,72,1990
263,112,707,104,1186
204,42,219,97,562
149,786,912,150,1997
616,713,603,277,2209
774,702,113,260,1849
381,806,203,563,1953
676,145,697,521,2039
943,246,549,560,2298
54,705,635,294,1688
849,931,296,128,2204
226,333,711,407,1677
893,383,430,543,2249
632,568,359,719,2278
180,220,167,992,1559
91,905,657,730,2383
368,514,263,64,1209
746,568,856,379,2549
555,120,226,568,1469
426,526,637,63,1652
426,328,934,62,1750
506,437,46,877,1866
421,427,912,137,1897
546,343,397,384,1670
606,307,946,775,2634
870,83,129,918,2000
569,665,424,515,2173
110,141,397,785,1433
778,83,728,401,1990
221,161,166,627,1175
941,751,968,670,3330
122,256,532,728,1638
968,112,21,994,2095
675,66,108,631,1480
49,657,685,361,1752
759,910,170,50,1889
621,604,47,107,1379
905,477,875,829,3086
658,744,506,834,2742
812,193,516,799,2320
445,537,701,585,2268
141,196,330,443,1110
159,975,776,779,2689
207,784,38,214,1243
509,234,43,962,1748
425,766,286,219,1696
963,166,0,293,1422
909,849,808,43,2609
916,785,118,683,2502
562,575,162,645,1944
771,690,114,442,2017
707,961,324,930,2922
45,629,361,713,1748
792,62,700,295,1849
555,738,129,292,1714
243,576,826,884,2529
573,117,404,556,1650
608,228,619,165,1620
148,949,272,157,1526
441,409,234,432,1516
351,535,93,499,1478
406,91,797,884,2178
447,561,442,948,2398
690,16,300,211,1217
759,894,364,144,2161
200,140,635,667,1642
462,565,534,222,1783
961,828,753,37,2579
621,713,876,218,2428
731,394,927,530,2582
203,62,215,322,802
769,596,319,812,2496
568,55,860,455,1938
478,957,343,457,2235
483,463,440,64,1450
374,317,824,674,2189
242,258,144,444,1088
501,740,28,702,1971
405,1,85,475,966
614,346,344,101,1405
606,55,867,121,1649
54,350,208,571,1183
764,350,915,741,2770
714,884,199,592,2389
549,329,438,872,2188
889,75,336,770,2070
727,651,327,427,2132
933,840,55,936,2764
138,345,830,431,1744
943,647,939,361,2890
581,839,366,851,2637
337,805,241,816,2199
208,82,17,759,1066
808,921,326,124,2179
621,303,661,878,2463
881,400,845,343,2469
423,401,965,415,2204
983,752,843,813,3391
226,341,900,508,1975
36,603,350,377,1366
510,335,354,405,1604
576,125,891,855,2447
107,53,48,479,687
5,900,972,456,2333
650,309,955,275,2189
713,443,745,642,2543
567,184,144,638,1533
706,227,132,984,2049
307,238,499,566,1610
202,317,108,16,643
482,346,820,936,2584
8,719,535,32,1294
135,898,289,66,1388
178,895,314,145,1532
689,836,532,936,2993
306,616,703,436,2061
467,855,388,832,2542
925,489,468,835,2717
94,448,288,562,1392
413,155,616,236,1420
556,195,704,780,2235
809,330,436,616,2191
934,162,444,769,2309
19,493,181,176,869
705,152,248,423,1528
726,723,269,694,2412
248,89,9,29,375
938,638,863,5,2444
232,576,266,116,1190
302,551,968,701,2522
99,535,178,138,950
673,705,702,158,2238
454,953,676,793,2876
219,916,123,516,1774
268,84,961,81,1394
781,898,207,909,2795
637,172,350,925,2084
877,761,11,803,2452
349,257,98,862,1566
746,667,687,491,2591
628,556,320,115,1619
471,57,588,614,1730
377,447,917,24,1765
499,909,217,612,2237
204,426,944,955,2529
1,894,126,926,1947
138,437,387,154,1116
743,16,132,49,940
203,252,911,800,2166
399,365,675,407,1846
103,837,434,49,1423
446,755,644,282,2127
280,656,214,531,1681
743,885,725,348,2701
104,990,538,456,2088
759,73,77,911,1820
678,64,492,392,1626
993,601,362,219,2175
62,357,924,748,2091
484,347,454,992,2277
715,931,255,851,2752
369,152,66,596,1183
685,824,8,603,2120
35,855,927,96,1913
919,69,164,140,1292
385,715,847,724,2671
295,125,669,705,1794
966,971,162,309,2408
482,358,105,458,1403
465,278,942,33,1718
407,690,576,888,2561
337,255,580,621,1793
501,416,120,550,1587
998,302,346,816,2462
353,514,328,836,2031
70,807,678,243,1798
498,843,142,908,2391
37,781,606,535,1959
672,772,139,70,1653
968,391,790,251,2400
753,591,871,262,2477
479,961,131,134,1705
156,32,14,741,943
222,50,219,671,1162
922,313,988,406,2629
249,81,69,836,1235
913,611,590,544,2658
56,28,826,660,1570
235,855,381,859,2330
129,879,746,113,1867
132,365,77,668,1242
426,393,79,759,1657
146,830,128,240,1344
710,471,352,728,2261
94,517,857,17,1485
408,311,80,108,907
676,946,859,292,2773
949,218,78,502,1747
710,1000,73,16,1799
62,299,771,309,1441
333,286,127,780,1526
61,807,623,233,1724
567,402,214,605,1788
361,887,267,372,1887
257,139,549,780,1725
998,295,641,320,2254
54,601,396,238,1289
956,999,550,976,3481
662,403,116,395,1576
510,841,494,729,2574
708,386,958,181,2233
542,589,875,596,2602
517,530,251,35,1333
141,765,611,158,1675
777,350,460,234,1821
86,370,278,802,1536
127,245,65,759,1196
676,487,341,618,2122
353,158,893,724,2128
79,310,661,762,1812
326,236,144,25,731
769,791,292,866,2718
905,84,387,162,1538
452,990,468,937,2847
549,944,478,972,2943
60,903,458,346,1767
185,862,855,749,2651
845,312,784,334,2275
268,534,606,280,1688
516,359,444,745,2064
797,615,949,54,2415
502,262,594,606,1964
978,568,869,449,2864
963,999,537,199,2698
891,264,497,457,2109
344,450,503,348,1645
23,450,142,655,1270
712,896,636,177,2421
705,855,374,995,2929
785,192,329,68,1374
441,393,228,33,1095
938,834,879,555,3206
977,466,565,916,2924
552,724,281,940,2497
49,509,697,886,2141
891,710,149,392,2142
539,699,601,815,2654
182,176,469,442,1269
983,20,123,821,1947
891,771,210,976,2848
475,969,18,584,2046
148,591,222,950,1911
4,713,32,276,1025
343,770,745,644,2502
472,158,822,773,2225
597,895,451,287,2230
660,957,608,389,2614
344,75,482,87,988
527,519,378,387,1811
12,950,531,935,2428
986,623,296,101,2006
685,29,994,879,2587
59,789,771,903,2522
242,276,215,812,1545
394,255,316,252,1217
422,622,28,588,1660
942,97,778,775,2592
488,499,230,391,1608
793,543,723,839,2898
442,982,878,567,2869
190,304,493,459,1446
736,736,691,603,2766
269,708,163,785,1925
136,680,577,827,2220
114,25,698,655,1492
212,332,315,704,1563
846,205,79,419,1549
706,94,164,26,990
357,619,37,164,1177
74,732,333,619,1758
295,436,906,467,2104
232,234,449,187,1102
346,268,936,19,1569
583,929,410,859,2781
360,389,339,315,1403
257,983,546,781,2567
417,643,542,506,2108
983,231,325,477,2016
13,745,474,35,1267
377,759,183,528,1847
998,125,514,332,1969
376,834,746,32,1988
63,591,814,206,1674
629,110,689,523,1951
361,317,12,442,1132
520,861,857,396,2634
270,195,7,536,1008
392,762,331,262,1747
539,258,972,294,2063
541,628,826,490,2485
396,944,640,912,2892
124,9,193,852,1178
712,452,209,292,1665
875,68,23,925,1891
83,442,803,215,1543
761,10,975,975,2721
286,723,268,723,2000
510,1000,323,917,2750
526,668,691,780,2665
523,265,909,215,1912
644,464,641,316,2065
417,687,38,343,1485
919,595,910,525,2949
261,583,80,223,1147
346,969,137,348,1800
16,515,482,551,1564
165,249,34,868,1316
467,623,497,716,2303
441,944,811,658,2854
263,897,663,568,2391
731,784,955,300,2770
4,288,537,668,1497
117,209,818,748,1892
283,279,583,950,2095
394,41,84,753,1272
46,629,714,95,1484
510,90,961,245,1806
940,986,894,150,2970
414,619,168,747,1948
39,54,833,495,1421
69,133,333,537,1072
723,757,684,891,3055
92,907,514,614,2127
944,689,248,367,2248
425,847,567,162,2001
319,724,940,267,2250
933,398,723,641,2695
227,886,543,522,2178
145,120,81,11,357
446,749,576,522,2293
439,237,881,986,2543
633,45,689,488,1855
692,425,305,168,1590
429,564,481,486,1960
994,758,531,852,3135
616,415,664,923,2618
580,913,953,387,2833
256,285,215,907,1663
304,71,348,390,1113
412,402,703,93,1610
166,728,681,246,1821
453,669,476,479,2077
97,283,320,297,997
130,421,305,262,1118
217,293,13,292,815
654,841,333,51,1879
737,696,385,148,1966
96,919,247,721,1983
712,897,863,937,3409
134,433,892,429,1888
704,455,577,302,2038
80,563,998,36,1677
163,93,811,122,1189
1,446,134,671,1252
124,68,897,393,1482
394,794,173,596,1957
796,436,478,631,2341
602,985,624,569,2780
379,128,353,774,1634
135,47,74,761,1017
205,680,516,99,1500
843,661,174,395,2073
102,333,44,40,519
28,610,785,37,1460
640,886,979,397,2902
588,368,660,809,2425
799,641,869,136,2445
23,935,981,57,1996
609,918,516,544,2587
681,61,957,961,2660
545,1,996,81,1623
915,685,757,670,3027
729,478,235,958,2400
